Weekday,"JANUARY
WeekDay",,Shift M,A,N,"FEBRUARY
Shift Week Day     M",,,A,N,Week,"MARCH
Shift M",,A,N,Week,"APRIL
Shift
Day      M",,A,N,"MAY
Week",,Shift M,A,N,"JUNE
Week",Day,Shift M,A,N,"JULY
Week","Shift
Day      M",,A,N,"AUGUST
WeekDay",,Shift M,A,N,"SETEMBER
Shift
WeekDay      M",,,A,N,"OCTOBER
WeekDay",,Shift M,A,N,"NOVEMBER
Shift
WeekDay      M",,,A,N,"DECEMBER
Shift
WeekDay      M",,,A,N
Mo,1,,,,,,,,,,,,,,,,,,,,,,,,,23,1,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BL,BL,BL,,,,,,,,,,,1,,W,W,W,,,,,,,,,,,1,,BL,BL,BL
We,1,,W,W,W,,,,,,,,,,,1,,W,W,W,,,,,,,3,BL,BL,BL,1,,BL,BL,BL,,,,,,2,,W,W,W,,,,,,,,,,,2,,BL,BL,BL
Th,2,,W,W,W,,,,,,,,,,,2,,W,W,W,,,,,,,4,BL,BL,BL,2,,BL,BL,BL,,,,,,3,,M,M,W,1,,BL,BL,BL,,,,,,3,,BL,BL,BL
Fr,3,,W,W,W,,,,,,,,,,,3,,W,W,W,1,,BL,BL,BL,,5,BL,BL,BL,3,,BL,BL,BL,,,,,,4,,M,M,W,2,,BL,BL,BL,,,,,,4,,BL,BL,BL
Sa,4,,W,W,W,1,,BL,BL,BL,,,,,,4,,W,W,W,2,,BL,BL,BL,6,,BL,BL,BL,4,,BL,BL,BL,1,,Off,Off,Off,5,,M,M,M,3,,BL,BL,BL,,,,,,5,,BL,BL,BL
Su,5,,W,W,W,2,,BL,BL,BL,1,,W,W,W,5,,W,W,W,3,,BL,BL,BL,7,,BL,BL,BL,5,,BL,BL,BL,2,,Off,Off,Off,6,,M,M,M,4,,M,M,M,1,,BL,BL,BL,6,,BL,BL,BL
Mo,2,6,W,W,W,6,3,M,M,M,10,2,M,M,M,15,6,W,W,W,19,4,M,M,M,24,8,M,M,M,28,6,M,M,M,32,3,Off,Off,Off,37,7,M,M,M,41,5,W,W,W,45,2,M,M,M,50,7,M,M,M
Tu,,7,W,W,W,,4,BL,BL,BL,,3,BL,BL,BL,,7,W,W,W,,5,BL,BL,BL,,9,BL,BL,BL,,7,BL,BL,BL,,4,Off,Off,Off,,8,BL,BL,BL,,6,W,W,W,,3,BL,BL,BL,,8,BL,BL,BL
We,,8,W,W,W,,5,BL,BL,BL,,4,BL,BL,BL,,8,W,W,W,,6,BL,BL,BL,,10,BL,BL,BL,,8,BL,BL,BL,,5,Off,Off,Off,,9,BL,BL,BL,,7,W,W,W,,4,BL,BL,BL,,9,BL,BL,BL
Th,,9,W,W,W,,6,BL,BL,BL,,5,BL,BL,BL,,9,W,W,W,,7,BL,BL,BL,,11,BL,BL,BL,,9,BL,BL,BL,,6,Off,Off,Off,,10,BL,BL,BL,,8,W,W,W,,5,BL,BL,BL,,10,BL,BL,BL
Fr,,10,W,W,W,,7,BL,BL,BL,,6,BL,BL,BL,,10,W,W,W,,8,BL,BL,BL,,12,BL,BL,BL,,10,BL,BL,BL,,7,Off,Off,Off,,11,BL,BL,BL,,9,W,W,W,,6,BL,BL,BL,,11,BL,BL,BL
Sa,11,,W,W,W,8,,BL,BL,BL,7,,BL,BL,BL,11,,W,W,W,9,,BL,BL,BL,13,,BL,BL,BL,11,,BL,BL,BL,8,,Off,Off,Off,12,,BL,BL,BL,10,,W,W,W,7,,BL,BL,BL,12,,BL,BL,BL
Su,12,,W,W,W,9,,BL,BL,BL,8,,BL,BL,BL,12,,W,W,W,10,,BL,BL,BL,14,,BL,BL,BL,12,,BL,BL,BL,9,,Off,Off,Off,13,,BL,BL,BL,11,,W,W,W,8,,M,M,M,13,,M,M,M
Mo,3,13,W,W,W,7,10,M,M,M,11,9,M,M,M,16,13,W,W,W,20,11,M,M,M,25,15,M,M,M,29,13,M,M,M,33,10,Off,Off,Off,38,14,M,M,M,42,12,W,W,W,46,9,W,W,W,51,14,BL,BL,BL
Tu,,14,W,W,W,,11,BL,BL,BL,,10,BL,BL,BL,,14,W,W,W,,12,BL,BL,BL,,16,BL,BL,BL,,14,BL,BL,BL,,11,Off,Off,Off,,15,BL,BL,BL,,13,M,M,M,,10,W,W,W,,15,BL,BL,BL
We,,15,W,W,W,,12,BL,BL,BL,,11,BL,BL,BL,,15,M,M,M,,13,BL,BL,BL,,17,BL,BL,BL,,15,BL,BL,BL,,12,Off,Off,Off,,16,BL,BL,BL,,14,BL,BL,BL,,11,W,W,W,,16,BL,BL,BL
Th,,16,M,M,W,,13,BL,BL,BL,,12,BL,BL,BL,,16,M,M,M,,14,BL,BL,BL,,18,BL,BL,BL,,16,BL,BL,BL,,13,Off,Off,Off,,17,BL,BL,BL,,15,BL,BL,BL,,12,W,W,W,,17,BL,BL,BL
Fr,,17,M,M,W,,14,BL,BL,BL,,13,bl,bl,bl,,17,BL,BL,BL,,15,BL,BL,BL,,19,BL,BL,BL,,17,BL,BL,BL,,14,Off,Off,Off,,18,BL,BL,BL,,16,BL,BL,BL,,13,W,W,W,,18,W,W,W
Sa,18,,M,M,M,15,,BL,BL,BL,14,,bl,bl,bl,18,,BL,BL,BL,16,,BL,BL,BL,20,,BL,BL,BL,18,,BL,BL,BL,15,,Off,Off,Off,19,,BL,BL,BL,17,,BL,BL,BL,14,,W,W,W,19,,W,W,W
Su,19,,M,M,M,16,,M,M,M,15,,bl,bl,bl,19,,BL,BL,BL,17,,M,M,M,21,,M,M,M,19,,BL,BL,BL,16,,Off,Off,Off,20,,BL,BL,BL,18,,BL,BL,BL,15,,W,W,W,20,,W,W,W
